date,number
2020-03-18T11,90
2020-03-18T12,84
2020-03-18T13,95
2020-03-18T14,82
2020-03-18T15,82
2020-03-18T16,57
2020-03-18T17,57
2020-03-18T18,42
2020-03-18T19,57
2020-03-18T20,69
2020-03-18T21,77
2020-03-18T22,75
2020-03-18T23,62
2020-03-19T00,70
2020-03-19T01,44
2020-03-19T02,41
2020-03-19T03,45
2020-03-19T04,49
2020-03-19T05,45
2020-03-19T06,45
2020-03-19T07,54
2020-03-19T08,70
2020-03-19T09,82
2020-03-19T10,78
2020-03-19T11,86
2020-03-19T12,81
2020-03-19T13,85
2020-03-19T14,80
2020-03-19T15,84
2020-03-19T16,59
2020-03-19T17,58
2020-03-19T18,40
2020-03-19T19,61
2020-03-19T20,67
2020-03-19T21,73
2020-03-19T22,72
2020-03-19T23,52
2020-03-20T00,54
2020-03-20T01,48
2020-03-20T02,37
2020-03-20T03,18
2020-03-20T04,32
2020-03-20T05,33
2020-03-20T06,35
2020-03-20T07,59
2020-03-20T08,75
2020-03-20T09,100
2020-03-20T10,83
2020-03-20T11,83
2020-03-20T12,72
2020-03-20T13,73
2020-03-20T14,81
2020-03-20T15,79
2020-03-20T16,59
2020-03-20T17,47
2020-03-20T18,36
2020-03-20T19,57
2020-03-20T20,67
2020-03-20T21,68
2020-03-20T22,67
2020-03-20T23,63
2020-03-21T00,63
2020-03-21T01,57
2020-03-21T02,61
2020-03-21T03,49
2020-03-21T04,47
2020-03-21T05,48
2020-03-21T06,51
2020-03-21T07,63
2020-03-21T08,80
2020-03-21T09,79
2020-03-21T10,79
2020-03-21T11,83
2020-03-21T12,72
2020-03-21T13,80
2020-03-21T14,94
2020-03-21T15,84
2020-03-21T16,57
2020-03-21T17,51
2020-03-21T18,43
2020-03-21T19,59
2020-03-21T20,71
2020-03-21T21,83
2020-03-21T22,68
2020-03-21T23,53
2020-03-22T00,57
2020-03-22T01,46
2020-03-22T02,45
2020-03-22T03,25
2020-03-22T04,19
2020-03-22T05,43
2020-03-22T06,49
2020-03-22T07,56
2020-03-22T08,61
2020-03-22T09,63
2020-03-22T10,72
2020-03-22T11,70
2020-03-22T12,70
2020-03-22T13,71
2020-03-22T14,75
2020-03-22T15,68
2020-03-22T16,42
2020-03-22T17,42
2020-03-22T18,36
2020-03-22T19,57
2020-03-22T20,67
2020-03-22T21,64
2020-03-22T22,60
2020-03-22T23,59
2020-03-23T00,61
2020-03-23T01,41
2020-03-23T02,40
2020-03-23T03,20
2020-03-23T04,41
2020-03-23T05,34
2020-03-23T06,46
2020-03-23T07,54
2020-03-23T08,70
2020-03-23T09,76
2020-03-23T10,88
2020-03-23T11,81
2020-03-23T12,77
2020-03-23T13,77
2020-03-23T14,68
2020-03-23T15,77
2020-03-23T16,63
2020-03-23T17,52
2020-03-23T18,44
2020-03-23T19,57
2020-03-23T20,71
2020-03-23T21,68
2020-03-23T22,68
2020-03-23T23,55
2020-03-24T00,63
2020-03-24T01,52
2020-03-24T02,52
2020-03-24T03,43
2020-03-24T04,40
2020-03-24T05,48
2020-03-24T06,51
2020-03-24T07,58
2020-03-24T08,70
2020-03-24T09,79
2020-03-24T10,88
2020-03-24T11,85
2020-03-24T12,78
2020-03-24T13,80
2020-03-24T14,94
2020-03-24T15,84
2020-03-24T16,59
2020-03-24T17,50
2020-03-24T18,47
2020-03-24T19,88
2020-03-24T20,81
2020-03-24T21,67
2020-03-24T22,71
2020-03-24T23,65
2020-03-25T00,58
2020-03-25T01,55
2020-03-25T02,27
2020-03-25T03,36
2020-03-25T04,38
2020-03-25T05,45
2020-03-25T06,45
2020-03-25T07,56
2020-03-25T08,73
2020-03-25T09,82
2020-03-25T10,84
